BGP4MP|01/01/17 12:00:07|A|2001:7f8:30:0:2:1:0:6939|6939|2804:c58:8000::/33|6939 262429 12989 16735 52694|IGP
BGP4MP|01/01/17 12:00:07|A|2001:7f8:30:0:2:1:0:6939|6939|2804:c58:8000::/33|6939 262429 12989 16735 52694|IGP
BGP4MP|01/01/17 12:00:07|A|2001:7f8:30:0:2:1:1:3030|13030|2804:c58::/33|13030 6939 262429 12989 16735 52694|IGP
BGP4MP|01/01/17 12:00:07|A|2001:7f8:30:0:2:1:1:3030|13030|2804:c58::/33|13030 6939 262429 12989 16735 52694|IGP
BGP4MP|01/01/17 12:00:07|A|2001:7f8:30:0:2:1:1:3030|13030|2804:c58:8000::/33|13030 6939 262429 12989 16735 52694|IGP
BGP4MP|01/01/17 12:00:07|A|2001:7f8:30:0:2:1:1:3030|13030|2804:c58:8000::/33|13030 6939 262429 12989 16735 52694|IGP
BGP4MP|01/01/17 12:00:07|A|193.203.0.91|13237|67.198.144.0/24|13237 6939 35908|IGP
BGP4MP|01/01/17 12:00:08|A|193.203.0.91|13237|67.198.144.0/24|13237 6939 35908|IGP
BGP4MP|01/01/17 12:00:08|A|193.203.0.185|6939|67.198.144.0/24|6939 35908|IGP
BGP4MP|01/01/17 12:00:08|A|193.203.0.91|13237|84.205.71.0/24|13237 47872 12654|IGP
BGP4MP|01/01/17 12:00:08|A|193.203.0.91|13237|84.205.70.0/24|13237 3257 2497 12654|IGP
BGP4MP|01/01/17 12:00:08|A|193.203.0.91|13237|84.205.70.0/24|13237 3257 2497 12654|IGP
BGP4MP|01/01/17 12:00:08|A|2001:7f8:30:0:2:1:1:3030|13030|2001:7fb:fe06::/48|13030 2914 2914 2914 2914 2497 12654|IGP
BGP4MP|01/01/17 12:00:08|A|2001:7f8:30:0:2:1:1:3030|13030|2001:7fb:fe06::/48|13030 2914 2914 2914 2914 2497 12654|IGP
BGP4MP|01/01/17 12:00:08|A|2001:7f8:30:0:1:1:0:6720|6720|2804:14d:9081::/48|6720 1853 3356 4230 28573|IGP
BGP4MP|01/01/17 12:00:08|A|2001:7f8:30:0:1:1:0:6720|6720|2804:14d:9081::/48|6720 1853 3356 4230 28573|IGP
BGP4MP|01/01/17 12:00:08|A|2001:7f8:30:0:1:1:0:6720|6720|2804:14d:90a6::/48|6720 1853 3356 4230 28573|IGP
BGP4MP|01/01/17 12:00:08|A|2001:7f8:30:0:1:1:0:6720|6720|2804:14d:90a6::/48|6720 1853 3356 4230 28573|IGP
BGP4MP|01/01/17 12:00:08|A|2001:7f8:30:0:1:1:0:6720|6720|2804:14d:90ad::/48|6720 1853 3356 4230 28573|IGP
BGP4MP|01/01/17 12:00:08|A|2001:7f8:30:0:1:1:0:6720|6720|2804:14d:90ad::/48|6720 1853 3356 4230 28573|IGP
BGP4MP|01/01/17 12:00:08|A|2001:7f8:30:0:1:1:0:6720|6720|2804:14d:90ae::/48|6720 1853 3356 4230 28573|IGP
BGP4MP|01/01/17 12:00:08|A|2001:7f8:30:0:1:1:0:6720|6720|2804:14d:90ae::/48|6720 1853 3356 4230 28573|IGP
BGP4MP|01/01/17 12:00:08|A|2001:7f8:30:0:1:1:0:6720|6720|2804:14d:90af::/48|6720 1853 3356 4230 28573|IGP
BGP4MP|01/01/17 12:00:08|A|2001:7f8:30:0:1:1:0:6720|6720|2804:14d:90af::/48|6720 1853 3356 4230 28573|IGP
BGP4MP|01/01/17 12:00:08|A|2001:7f8:30:0:1:1:0:6720|6720|2804:14d:baa2::/48|6720 8447 6939 4230 28573|IGP
